http://twitpic.com,1724,,,,,,,,,,,,,
http://vkontakte.ru,2829,,,,,,,,,,,,,
http://thepiratebay.org,3743,,,,,,400KB,,300KB,,300KB,,,
http://stumbleupon.com,4374,,,,,,C,,B,,A,,,
http://weibo.com,5473,,,,,,http://ifeng.com,320553,http://google.com,13965,http://amazon.com,329739,,
http://imageshack.us,5548,,,,,,,,http://facebook.com,40101,http://google.de,14368,,
http://wordpress.com,5867,,,,,,,,http://twitter.com,234286,http://bing.com,46368,,
http://alipay.com,6175,,,,,,,,http://yahoo.co.jp,17534,http://google.co.uk,14288,,
http://tianya.cn,9281,,,,,,,,,,http://google.co.jp,14312,,
http://renren.com,9627,,,,,,,,,,,,,
http://wordpress.org,10348,,,,,,,,,,,,,
http://babylon.com,10431,,,,,,,,,,,,,
http://conduit.com,10536,,,,,,,,,,,,,
http://google.com.au,14303,,,,,,,,,,,,,
http://google.nl,14354,,,,,,,,,,,,,
http://google.it,14373,,,,,,,,,,,,,
http://google.fr,14446,,,,,,,320553,,305886,,419075,,1045514
http://google.com.mx,14499,,,,,,,,,,,,,
http://fileserve.com,14551,,,,,,,,,,,,,
http://google.com.tr,14677,,,,,,,,,,,,,
http://google.ru,14711,,,,,,,,,,,,,
http://google.ca,14723,,,,,,,,,,,,,
http://google.pl,14744,,,,,,,,,,,,,
http://google.com.hk,14760,,,,,,,,,,,,,
http://google.com.br,14785,,,,,,,,,,,,,
http://google.com.sa,15225,,,,,,,,,,,,,
http://google.es,15237,,,,,,,,,,,,,
http://google.co.id,15370,,,,,,,,,,,,,
http://doubleclick.com,19335,,,,,,,,,,,,,
,,,,,,,,,,,,,,
http://cnzz.com,20442,,,,,,,,,,,,,
http://linkedin.com,22478,,,,,,,,,,,,,
http://mediafire.com,27870,,,,,,,,,,,,,
http://apple.com,28387,,,,,,,,,,,,,
http://badoo.com,29849,,,,,,,,,,,,,
http://blogspot.com,31088,,,,,,,,,,,,,
http://fc2.com,32875,,,,,,,,,,,,,
http://msn.com,33046,,,,,,,,,,,,,
http://zedo.com,34775,,,,,,,,,,,,,
http://ameblo.jp,34810,,,,,,,,,,,,,
http://ask.com,34837,,,,,,,,,,,,,
http://4shared.com,41801,,,,,,,,,,,,,
http://photobucket.com,43243,,,,,,,,,,,,,
,415501,,,,,,,,,,,,,
http://yandex.ru,47065,,,,,,,,,,,,,
http://craigslist.org,52502,,,,,,,,,,,,,
http://livedoor.com,57703,,,,,,,,,,,,,
http://tumblr.com,60229,,,,,,,,,,,,,
http://taobao.com,73793,,,,,,,,,,,,,
,,,,,,,,,,,,,,
http://microsoft.com,78277,,,,,,,,,,,,,
http://go.com,87244,,,,,,,,,,,,,
http://cnn.com,90284,,,,,,,,,,,,,
http://ehow.com,90289,,,,,,,,,,,,,
,,,,,,,,,,,,,,
http://netflix.com,105397,,,,,,,,,,,,,
http://aol.com,107613,,,,,,,,,,,,,
http://odnoklassniki.ru,107715,,,,,,,,,,,,,
http://alibaba.com,109610,,,,,,,,,,,,,
,,,,,,,,,,,,,,
http://uol.com.br,118179,,,,,,,,,,,,,
http://paypal.com,119985,,,,,,,,,,,,,
http://dailymotion.com,120108,,,,,,,,,,,,,
,,,,,,,,,,,,,,
http://adobe.com,126040,,,,,,,,,,,,,
http://flickr.com,126502,,,,,,,,,,,,,
http://goo.ne.jp,131763,,,,,,,,,,,,,
,,,,,,,,,,,,,,
http://bbc.co.uk,133610,,,,,,,,,,,,,
http://weather.com,139162,,,,,,,,,,,,,
http://imgur.com,149101,,,,,,,,,,,,,
,,,,,,,,,,,,,,
http://imdb.com,149588,,,,,,,,,,,,,
http://google.co.in,155493,,,,,,,,,,,,,
http://nytimes.com,156003,,,,,,,,,,,,,
,,,,,,,,,,,,,,
http://ebay.de,157595,,,,,,,,,,,,,
http://livejournal.com,159865,,,,,,,,,,,,,
http://ebay.co.uk,161240,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
http://ebay.com,164059,,,,,,,,,,,,,
http://godaddy.com,172038,,,,,,,,,,,,,
http://tmall.com,195077,,,,,,,,,,,,,
,,,,,,,,,,,,,,
http://myspace.com,210955,,,,,,,,,,,,,
http://cnet.com,213541,,,,,,,,,,,,,
,,,,,,,,,,,,,,
http://huffingtonpost.com,244478,,,,,,,,,,,,,
http://mail.ru,248265,,,,,,,,,,,,,
,,,,,,,,,,,,,,
http://espn.go.com,283732,,,,,,,,,,,,,
http://rakuten.co.jp,294771,,,,,,,,,,,,,
,,,,,,,,,,,,,,
http://sohu.com,419028,,,,,,,,,,,,,
,,,,,,,,,,,,,,
http://globo.com,429336,,,,,,,,,,,,,
,,,,,,,,,,,,,,
http://yahoo.com,430492,,,,,,,,,,,,,
,,,,,,,,,,,,,,
http://youtube.com,442466,,,,,,,,,,,,,
,,,,,,,,,,,,,,
http://amazon.de,469266,,,,,,,,,,,,,
,,,,,,,,,,,,,,
http://amazon.co.jp,506455,,,,,,,,,,,,,
,,,,,,,,,,,,,,
http://about.com,506914,,,,,,,,,,,,,
,,,,,,,,,,,,,,
http://chinaz.com,523509,,,,,,,,,,,,,
,,,,,,,,,,,,,,
http://qq.com,528886,,,,,,,,,,,,,
,,,,,,,,,,,,,,
http://sina.com.cn,536009,,,,,,,,,,,,,
,,,,,,,,,,,,,,
http://tudou.com,560930,,,,,,,,,,,,,
,,,,,,,,,,,,,,
http://youku.com,622463,,,,,,,,,,,,,
,,,,,,,,,,,,,,
http://163.com,668389,,,,,,,,,,,,,
,,,,,,,,,,,,,,
http://hao123.com,699001,,,,,,,,,,,,,